ID,place1_description,place1_town,place1_country,travel_time_1_min,modes_1_and_or,place_1_purpose,place2_description,place2_town,place2_country,travel_time_2_min,modes_2_and_or,place_2_purpose,place3_description,place3_town,place3_country,travel_time_3_min,modes_3_and_or,place_3_purpose,place4_description,place4_town,place4_country,travel_time_4_min,modes_4_and_or,place_4_purpose,place5_description,place5_town,place5_country,travel_time_5_min,modes_5_and_or,place_5_purpose,cleaned,all_modes,home_lon_centroids_ssecteur_7,home_lat_centroids_ssecteur_7,home_NPA,home_town,ssecteur_7,ssecteur_7_area,population_ssecteur7_2021,ssecteur_3,secteur
143488, ,Le Grand-Saconnex,Suisse, ,TP,99, ,Genève,Suisse, ,TP,99, ,Genève,Suisse, ,TP,99, ,Genève,Suisse, ,TP,99, ,Genève,Suisse, ,TP,99,0,TP,6.125437890991340,46.23691859956320,1218,Le Grand-Saconnex,2300032,233896.1448,1908.0,32,0
121539,Versoix,Genève,Suisse,15,TIM,At relatives,Route de Malagnou,Genève,Suisse,30,TP,At work/school,Genève,Genève,Suisse,5,TP,Collective transport,Genève,Genève,Suisse,5,TIM,Shops,Genève,Genève,Suisse,30,TIM,Public services,0,MD+TP+TIM,6.133139491228750,46.221265358684000,1202,Genève,2134050,290887.6611,3935.0,50,34
141639,Chavannes de bogis,Petit-Lancy,Suisse,30,TIM,At work/school,Ferney F  Divonnes F,Genève,Suisse,30,TIM,Sport,Manor Chavannes  Migros Balexert  France,Genève,Suisse,15,TIM,Shops,Cinema Balexert,Genève,Suisse,15,TIM,Public space,Gland,Genève,Suisse,30,TIM,At relatives,0,TIM,6.117309515308440,46.195459772270200,1213,Petit-Lancy,2800020,255717.38165,2820.0,20,0
114553,Nernier et Megève,Genève,Suisse,40,MD+TIM,Other home,Genève,Genève,Suisse,15,TIM,At relatives,Bassin lémanique,Genève,Suisse,10,MD+TIM,Public space,"Bassin lémanique, Jura, Alpes",Genève,Suisse,10,MD+TIM,Sport,"Alpes, Bassin lémanique",Genève,Suisse,15,MD+TIM,Other,0,MD+TIM,6.12608569365198,46.21349797853200,1203,Genève,2135040,115323.29735,3582.0,40,35
101430,Rue Agasse,Plan-les-Ouates,Suisse,20,MD+TP+TIM,At work/school,Sorties en montagne,Genève,Suisse,20,TIM,Other,"Plan-les-Ouates, Centre sportif Queue d'Arve",Genève,Suisse,20,MD+TIM,Sport,"Plan-les-Ouates, Carouge, Lancy, Vernier",Genève,Suisse,30,MD+TIM,Shops,"Plan-les-Ouates, Bardonnex, Douvaine, Mossel",Genève,Suisse,20,MD+TIM,At relatives,0,MD+TP+TIM,6.116190331217200,46.17094473605020,1228,Plan-les-Ouates,3300030,487782.2848,3512.0,30,0
116059,Chatelaine,Genève,Suisse,10,MD,At work/school,"Chatelaine, balexert, petit saconnex, servette",Genève,Suisse,10,MD+TIM,Shops,"Parc Trembley , parc beaulieu ,",Genève,Suisse,5,MD+TP,Public space,Petit saconnex,Genève,Suisse,5,MD+TP+TIM,At relatives,"Grand saconnex, chene bougerie",Genève,Suisse,20,MD+TP+TIM,At relatives,0,MD+TP+TIM,6.133139491228750,46.221265358684000,1209,Genève,2134050,290887.6611,3935.0,50,34
113678,Rue des Aster,Genève,Suisse,1,TP,Public space,Plan-les-ouates,Genève,Suisse,20,MD,At relatives,Parc Beaulieu,Genève,Suisse,3,TP,Public space,ADC (Association pour la danse contemporaine - eaux vive),Genève,Suisse,10,MD,Public space,Rue Soubeyran,Genève,Suisse,3,MD,At relatives,0,MD,6.133114288640450,46.21364135770170,1202,Genève,2133010,144225.17395,5052.0,10,33
117916,Centre-ville / Genève,Satigny,Suisse,30,TP,At work/school,Satigny,Genève,Suisse,2,TP,Collective transport,Satigny,Genève,Suisse,5,TP,Public space,Satigny,Genève,Suisse,5,TP,Shops,Centre ville / Genève,Genève,Suisse,30,TIM,At relatives,0,MD+TP+TIM,6.035754586707760,46.21585841236470,1242,Satigny,3800100,1255009.47855,2895.0,100,0
121418,"Rue de Carouge 46, 1205 Genève",Genève,Suisse,30,TP,At work/school,Parc des Eaux-vives,Genève,Suisse,10,MD+TIM,Public space,CFF Genève-Cully,Genève,Suisse,60,TP,Collective transport,"Morgins, Valais",Genève,Suisse,105,TIM,Other home,"Cully, Vaud",Genève,Suisse,90,TP+TIM,At relatives,0,MD+TP+TIM,6.17381965260634,46.20109398440060,1208,Genève,2121042,54109.42105,1075.0,42,21
131515,Plan-les-Ouates,Genève,Suisse,20,TP,At work/school,Parc La Grange,Genève,Suisse,10,TP,Public space,Ville la Grand,Genève,Suisse,20,TIM,Shops,St-Jean,Genève,Suisse,20,MD+TP+TIM,At relatives,Collonge-Bellerive,Genève,Suisse,20,TP+TIM,Other home,0,MD+TP+TIM,6.133782716512050,46.207252724239200,1203,Genève,2103010,150862.05375,4638.0,10,3
135222,Montbrillant,Genève,Suisse,15,TP,At work/school,rive droite+centre,Genève,Suisse,99999,TP,Public space,campagne,Genève,Suisse,20,MD+TP,Other,Meyrin servette eau vives grottes,Genève,Suisse,30,MD+TP,At relatives,canton neuchâtel,Genève,Suisse,120,TP,At relatives,0,MD+TP,6.135359881099750,46.209590694847200,1202,Genève,2103022,91365.7752,3331.0,22,3
132813,Plainpalais,Genève,Suisse,10,TP,At relatives,Lancy,Genève,Suisse,20,TP,At work/school,Parc des crepettes,Genève,Suisse,5,TP,Public space,Rue école de médecine,Genève,Suisse,15,TIM,Public space,Bibliothèque municipale 	MOMA,Genève,Suisse,15,,Public space,0,,6.141298916758210,46.20822432454070,1201,Genève,2102020,83679.0,660.0,20,2
105323,Plainpalais,Conches,Suisse,15,MD+TP,At work/school,Genève,Genève,Suisse,15,MD+TP+TIM,Public space,Chêne-Bourg,Genève,Suisse,10,TIM,Public space,9999,Genève,Suisse,99999,MD+TIM,Collective transport,Genève,Genève,Suisse,15,MD+TP+TIM,At relatives,0,MD+TP+TIM,6.180493027516140,46.19109516087110,1231,Conches,1200032,229486.9208,368.0,32,0
128196,Quai Ernest-Ansermet,Genève,Suisse,30,TP,At work/school,"Dijon, France",Genève,Suisse,180,TP+TIM,At relatives,Plainpalais,Genève,Suisse,30,TP,At relatives,Montbrillant,Genève,Suisse,5,TP,At relatives,Montbrillant,Genève,Suisse,5,TP,Public space,0,MD+TP+TIM,6.142571846513640,46.219153044987600,1202,Genève,2132040,106910.5942,1745.0,40,32
115249,9999,Genève,Suisse,40,TP,At work/school,9999,Genève,Suisse,30,TP,At relatives,9999,Genève,Suisse,60,TP,At relatives,9999,Genève,Suisse,99999,MD,Public space,9999,Genève,Suisse,30,MD+TP,Public space,0,MD+TP,6.155788122589560,46.197401017247300,1208,Genève,2122010,55964.0397,912.0,10,22
105544,Meyrin,Chêne-Bougeries,Suisse,60,TIM,At relatives,"Thonêx, Veyrier, Eaux-Vives, Plan-les-Ouates",Genève,Suisse,30,TIM,At relatives,Wolfisberg Champel,Genève,Suisse,20,TIM,Public space,Toute la ville de Genève,Genève,Suisse,40,TIM,At work/school,Centre ville de Genève,Genève,Suisse,30,TIM,Public space,0,TIM,6.19839727173434,46.20491793516970,1224,Chêne-Bougeries,1200080,263259.79,1865.0,80,0
